"T","Points:0","Points:1","Points:2"
354.5,0.366,-0.12049,0
353.56,0.372,-0.12049,0
355.7,0.378,-0.12049,0
356.03,0.384,-0.12049,0
351.02,0.39,-0.12049,0
346.88,0.396,-0.12049,0
345.8,0.402,-0.12049,0
345.78,0.408,-0.12049,0
345.44,0.414,-0.12049,0
345.78,0.42,-0.12049,0
346.66,0.426,-0.12049,0
346.52,0.432,-0.12049,0
343.37,0.438,-0.12049,0
334.88,0.444,-0.12049,0
328.68,0.45,-0.12049,0
329.33,0.456,-0.12049,0
331.49,0.462,-0.12049,0
332.25,0.468,-0.12049,0
330.89,0.474,-0.12049,0
328.9,0.48,-0.12049,0
327.55,0.486,-0.12049,0
325.99,0.492,-0.12049,0
323.72,0.498,-0.12049,0
321.85,0.504,-0.12049,0
320.99,0.51,-0.12049,0
320.69,0.516,-0.12049,0
320.56,0.522,-0.12049,0
320.49,0.528,-0.12049,0
320.41,0.534,-0.12049,0
320.31,0.54,-0.12049,0
320.22,0.546,-0.12049,0
320.11,0.552,-0.12049,0
320.13,0.558,-0.12049,0
320.51,0.564,-0.12049,0
320.35,0.57,-0.12049,0
319.9,0.576,-0.12049,0
319.97,0.006,-0.11755,0
320,0,-0.11755,0
